highest_layer,transport_layer,src_ip,dst_ip,src_port,dst_port,ip_flag,packet_length,transport_flag,time,timestamp,geo_country,data
ICMPV6,NONE,fe80::1,ff02::1,-1,-1,-1,0,-1,2019-01-19 15:40:50.161214,1547892650161,Unknown,
SSDP,UDP,192.168.1.35,239.255.255.250,50044,1900,0,1,-1,2019-01-19 15:40:52.494277,1547892652494,Unknown,
SSDP,UDP,192.168.1.1,192.168.1.35,1900,50044,16384,2,-1,2019-01-19 15:40:52.495870,1547892652495,Unknown,
TCP,TCP,192.168.1.35,192.168.1.1,19551,48025,16384,0,2,2019-01-19 15:40:52.500665,1547892652500,Unknown,
TCP,TCP,192.168.1.1,192.168.1.35,48025,19551,16384,0,18,2019-01-19 15:40:52.502072,1547892652502,Unknown,
TCP,TCP,192.168.1.35,192.168.1.1,19551,48025,16384,0,16,2019-01-19 15:40:52.502267,1547892652502,Unknown,
HTTP,TCP,192.168.1.35,192.168.1.1,19551,48025,16384,1,24,2019-01-19 15:40:52.502524,1547892652502,Unknown,
TCP,TCP,192.168.1.1,192.168.1.35,48025,19551,16384,0,16,2019-01-19 15:40:52.503912,1547892652503,Unknown,
TCP,TCP,192.168.1.1,192.168.1.35,48025,19551,16384,11,16,2019-01-19 15:40:52.505058,1547892652505,Unknown,
XML,TCP,192.168.1.1,192.168.1.35,48025,19551,16384,9,24,2019-01-19 15:40:52.505316,1547892652505,Unknown,
TCP,TCP,192.168.1.35,192.168.1.1,19551,48025,16384,0,16,2019-01-19 15:40:52.505435,1547892652505,Unknown,
TCP,TCP,192.168.1.1,192.168.1.35,48025,19551,16384,0,17,2019-01-19 15:40:52.505565,1547892652505,Unknown,
TCP,TCP,192.168.1.35,192.168.1.1,19551,48025,16384,0,17,2019-01-19 15:40:52.505570,1547892652505,Unknown,
TCP,TCP,192.168.1.35,192.168.1.1,19551,48025,16384,0,16,2019-01-19 15:40:52.505668,1547892652505,Unknown,
TCP,TCP,192.168.1.1,192.168.1.35,48025,19551,16384,0,16,2019-01-19 15:40:52.507066,1547892652507,Unknown,
SSDP,UDP,192.168.1.35,239.255.255.250,50044,1900,0,1,-1,2019-01-19 15:40:55.495806,1547892655495,Unknown,
SSDP,UDP,192.168.1.1,192.168.1.35,1900,50044,16384,2,-1,2019-01-19 15:40:55.498683,1547892655498,Unknown,
SSL,TCP,192.0.78.23,192.168.1.35,443,18784,16384,0,24,2019-01-19 15:40:55.870664,1547892655870,Unknown,
SSL,TCP,192.168.1.35,192.0.78.23,18784,443,16384,0,24,2019-01-19 15:40:55.871479,1547892655871,Unknown,
TCP,TCP,192.0.78.23,192.168.1.35,443,18784,16384,0,16,2019-01-19 15:40:56.075323,1547892656075,Unknown,
SSL,TCP,192.168.1.35,172.217.27.196,19462,443,16384,0,24,2019-01-19 15:40:57.312963,1547892657312,Unknown,
SSL,TCP,192.168.1.35,172.217.31.3,19463,443,16384,0,24,2019-01-19 15:40:57.313418,1547892657313,Unknown,
SSL,TCP,192.168.1.35,216.58.199.134,19464,443,16384,0,24,2019-01-19 15:40:57.313779,1547892657313,Unknown,
